Nom de la recette,Clarity,Color (Saturation),Color Chrome Effect,Color Chrome FX Blue,Commentaire,D-Range Priority,Dynamic Range,Expo Compensation,Film Simulation,Grain Effect,Grain Size,High ISO NR,Highlights,Note,Photos JPEG,Preset,Shadows,Sharpness,Shift Blue,Shift Red,Smooth Skin Effect,White Balance
Classic Cuban Neg,-4,+4,Strong,Strong,"Voyage, Jour clair, Sunset",Off,DR400,,Classic Neg,Strong,Large,-4,-2,,Recettes%20Fuji/Classic%20Cuban%20Neg/IMG_0A4E90622693-1.jpeg,,+1,-4,-5,+3,Weak,Auto
Cinematic Gold,0,+3,Off,Off,"Soleil, Ombres, Contraste, Villes",Off,DR400,,Classic Neg,Weak,Small,-4,0,⭐⭐⭐⭐,"Recettes%20Fuji/Cinematic%20Gold/Capture_decran_2026-01-24_a_22.37.57.png, Recettes%20Fuji/Cinematic%20Gold/Capture_decran_2026-01-24_a_22.38.06.png",FS2,0,-2,-5,+4,Off,Daylight
Reggie’s Portra,0,+2,Strong,Weak,,Off,DR400,+1/3 to +1,Classic Chrome,Weak,Small,-4,-1,,,,-1,-2,-4,+2,Off,Auto
Pure Chrome,+1,+4,Strong,Weak,,Off,DR400,,Classic Chrome,Off,,0,+1,,Recettes%20Fuji/Pure%20Chrome/Capture_decran_2026-01-24_a_22.47.38.png,,+0.5,-2,-4,+2,Off,Daylight
Candy Dream,-3,+4,Weak,Weak,"Clair, Doux, Lumineux",Off,DR400,,Nostalgic Neg,Weak,Large,-4,-2,,Recettes%20Fuji/Candy%20Dream/Capture_decran_2026-01-24_a_23.02.31.png,FS1,-2,+3,+2,+1,Weak,Auto ambiance pro
Calm Optimist,0,+4,Strong,Strong,,Off,DR400,,Classic Neg,Off,,-2,-2,⭐⭐,,,+1,+2,-5,+2,Off,Auto
Winter Sea Clarity,0,+4,Strong,Strong,,Off,DR100,,Classic Chrome,Off,,0,-1,,Recettes%20Fuji/Winter%20Sea%20Clarity/Capture_decran_2026-01-24_a_23.28.15.png,,-2,+1,+1,-1,Off,4700K
Lenscape,-3,-2,Weak,Weak,,Off,DR400,,Classic Neg,Weak,Small,-2,-2,,,,+1,-1,-1,+2,Off,Auto
Scottish Winter,0,+2,Weak,Weak,"Polyvalent, très coloré et contrasté",Off,DR400,-,Velvia,Off,,+2,+1,⭐⭐⭐,"Recettes%20Fuji/Scottish%20Winter/Capture_decran_2026-02-22_a_19.39.09.png, Recettes%20Fuji/Scottish%20Winter/Capture_decran_2026-02-22_a_19.38.58.png",,+1,-1,-2,+3,Weak,Auto
A tester,0,0,Strong,Weak,"Warm tones, Soft contrast, Clean highlights",Off,DR200,-1/3 to -1,Classic Neg,Weak,Small,0,-1,,,,+1,-1,0,0,Weak,Auto
Lea’s Recipe,0,+3,Strong,Weak,Lea’s recipe from Insta/TokTok,Off,DR400,+1/3 to +1,Classic Chrome,Weak,Large,-4,-2,,,,-0.5,-2,-3,-1,Weak,6600K
